ticket_id,created_date,resolved_date,department,ticket_type,priority,assigned_agent,resolution_hours,sla_target_hours,met_sla
TKT-10211,2026-05-01 15:00:00,2026-05-01 15:06:00.000000,Marketing,Account Lockout,Medium,R. Costa,0.1,8,True
TKT-10212,2026-02-08 16:00:00,2026-02-08 17:30:08.931483,Marketing,SSO Login Failure,High,M. Singh,1.5,2,True
TKT-10213,2025-10-19 14:00:00,2025-10-19 14:40:57.000581,Marketing,Account Lockout,Medium,J. Nguyen,0.68,8,True
TKT-10214,2025-07-03 16:00:00,2025-07-03 16:50:19.427632,HR,Password Reset,Low,A. Palishchuk,0.84,24,True
TKT-10215,2025-07-25 10:00:00,2025-07-25 10:07:23.688974,Operations,Password Reset,High,M. Singh,0.12,2,True
TKT-10216,2025-12-30 10:00:00,2025-12-30 10:41:18.501715,Operations,Password Reset,Low,T. O'Brien,0.69,24,True
TKT-10217,2026-06-26 10:00:00,2026-06-26 10:09:43.083561,Marketing,Password Reset,Low,A. Palishchuk,0.16,24,True
TKT-10218,2026-06-18 14:00:00,2026-06-18 18:40:33.782605,Operations,Access Request,High,T. O'Brien,4.68,2,False
TKT-10219,2026-04-19 11:00:00,2026-04-19 12:24:20.766208,Sales,SSO Login Failure,Medium,T. O'Brien,1.41,8,True
TKT-10220,2025-10-04 16:00:00,2025-10-04 20:00:03.620958,Sales,Access Request,Medium,R. Costa,4.0,8,True
TKT-10221,2026-03-19 14:00:00,2026-03-19 17:39:06.602073,HR,MFA Issue,Medium,J. Nguyen,3.65,8,True
TKT-10222,2025-07-18 15:00:00,2025-07-19 00:43:28.977543,HR,Device Enrollment,Low,T. O'Brien,9.72,24,True
TKT-10223,2025-09-25 17:00:00,2025-09-25 17:10:46.843497,Operations,MFA Issue,High,A. Palishchuk,0.18,2,True
TKT-10224,2025-08-10 13:00:00,2025-08-10 16:45:38.863150,Finance,Permission Change,Low,M. Singh,3.76,24,True
TKT-10225,2026-02-16 13:00:00,2026-02-16 13:29:47.421157,Engineering,Account Lockout,Low,M. Singh,0.5,24,True
TKT-10226,2025-12-11 14:00:00,2025-12-11 14:35:43.563249,Marketing,Access Request,Low,J. Nguyen,0.6,24,True
TKT-10227,2025-10-01 17:00:00,2025-10-01 17:34:54.796570,Engineering,Account Lockout,Low,T. O'Brien,0.58,24,True
TKT-10228,2026-05-09 13:00:00,2026-05-09 13:51:59.992483,Operations,Password Reset,Low,R. Costa,0.87,24,True
TKT-10229,2026-05-01 08:00:00,2026-05-01 13:11:29.029629,Marketing,SSO Login Failure,Low,A. Palishchuk,5.19,24,True
TKT-10230,2026-05-30 09:00:00,2026-05-30 09:06:00.000000,Finance,Password Reset,Low,A. Palishchuk,0.1,24,True
TKT-10231,2026-01-14 12:00:00,2026-01-14 15:40:48.565271,Marketing,Permission Change,Low,M. Singh,3.68,24,True
TKT-10232,2026-04-02 12:00:00,2026-04-02 12:06:18.703982,Finance,Access Request,Medium,R. Costa,0.11,8,True
TKT-10233,2026-01-01 14:00:00,2026-01-01 18:01:35.446789,HR,Access Request,Medium,R. Costa,4.03,8,True
TKT-10234,2025-11-28 11:00:00,2025-11-28 13:54:34.948311,Sales,SSO Login Failure,Low,A. Palishchuk,2.91,24,True
TKT-10235,2026-03-21 13:00:00,2026-03-21 19:08:03.794486,Legal,Permission Change,Low,T. O'Brien,6.13,24,True
TKT-10236,2025-10-22 09:00:00,2025-10-22 09:22:49.530329,HR,Account Lockout,High,A. Palishchuk,0.38,2,True
TKT-10237,2026-06-10 11:00:00,2026-06-10 12:02:55.134848,Operations,Account Lockout,Low,M. Singh,1.05,24,True
TKT-10238,2026-06-26 17:00:00,2026-06-26 18:48:39.845144,Legal,MFA Issue,Low,T. O'Brien,1.81,24,True
TKT-10239,2025-12-16 16:00:00,2025-12-16 19:20:53.593525,Finance,Permission Change,Medium,A. Palishchuk,3.35,8,True
TKT-10240,2025-10-06 13:00:00,2025-10-06 15:28:27.072352,Sales,MFA Issue,Medium,T. O'Brien,2.47,8,True
TKT-10241,2026-04-05 10:00:00,2026-04-05 11:49:53.417079,Legal,Permission Change,Low,A. Palishchuk,1.83,24,True
TKT-10242,2025-11-20 08:00:00,2025-11-20 10:19:06.615044,HR,MFA Issue,Low,R. Costa,2.32,24,True
TKT-10243,2026-05-01 08:00:00,2026-05-01 14:53:55.555663,Marketing,Access Request,Low,M. Singh,6.9,24,True
TKT-10244,2026-03-22 10:00:00,2026-03-22 16:45:44.217206,HR,Access Request,High,A. Palishchuk,6.76,2,False
TKT-10245,2025-12-01 16:00:00,2025-12-01 22:46:10.942421,HR,Access Request,Low,R. Costa,6.77,24,True
TKT-10246,2025-08-12 14:00:00,2025-08-13 05:33:50.377050,Operations,Device Enrollment,Medium,T. O'Brien,15.56,8,False
TKT-10247,2025-10-15 14:00:00,2025-10-16 06:05:11.561067,HR,Permission Change,Low,T. O'Brien,16.09,24,True
TKT-10248,2026-03-28 11:00:00,2026-03-28 11:33:21.925437,Operations,Permission Change,Low,R. Costa,0.56,24,True
TKT-10249,2025-08-21 10:00:00,2025-08-21 11:13:58.596832,Sales,Account Lockout,Low,A. Palishchuk,1.23,24,True
TKT-10250,2025-11-09 17:00:00,2025-11-09 17:44:34.464841,Sales,Password Reset,Low,M. Singh,0.74,24,True
TKT-10251,2025-12-06 14:00:00,2025-12-06 14:18:26.176541,HR,MFA Issue,Medium,J. Nguyen,0.31,8,True
TKT-10252,2026-03-20 13:00:00,2026-03-20 20:49:18.792019,Engineering,Access Request,Low,A. Palishchuk,7.82,24,True
TKT-10253,2025-10-26 12:00:00,2025-10-26 13:14:21.239843,Sales,Permission Change,Low,A. Palishchuk,1.24,24,True
TKT-10254,2025-10-29 17:00:00,2025-10-29 18:24:20.532945,Operations,Permission Change,Low,J. Nguyen,1.41,24,True
TKT-10255,2025-11-29 10:00:00,2025-11-29 18:17:28.688098,Engineering,Device Enrollment,Medium,R. Costa,8.29,8,False
TKT-10256,2026-02-27 12:00:00,2026-02-27 12:59:35.329674,Legal,Password Reset,Medium,R. Costa,0.99,8,True
TKT-10257,2025-11-27 12:00:00,2025-11-27 12:35:36.227616,Sales,Account Lockout,Medium,A. Palishchuk,0.59,8,True
TKT-10258,2025-09-15 16:00:00,2025-09-15 16:31:41.123299,Operations,Access Request,High,M. Singh,0.53,2,True
TKT-10259,2025-08-11 13:00:00,2025-08-11 13:06:00.000000,HR,Access Request,Medium,M. Singh,0.1,8,True
TKT-10260,2025-09-06 17:00:00,2025-09-06 18:19:58.908658,HR,MFA Issue,High,A. Palishchuk,1.33,2,True
TKT-10261,2026-06-18 11:00:00,2026-06-18 11:10:01.454482,Finance,Password Reset,Low,R. Costa,0.17,24,True
TKT-10262,2026-03-26 08:00:00,2026-03-26 08:21:44.948759,Operations,Device Enrollment,Medium,A. Palishchuk,0.36,8,True
TKT-10263,2026-01-16 09:00:00,2026-01-16 10:35:13.209875,Marketing,SSO Login Failure,Low,M. Singh,1.59,24,True
TKT-10264,2026-01-31 09:00:00,2026-01-31 09:31:55.574857,HR,MFA Issue,High,A. Palishchuk,0.53,2,True
TKT-10265,2026-04-26 17:00:00,2026-04-26 21:34:03.630569,Finance,Group Membership,Low,A. Palishchuk,4.57,24,True
TKT-10266,2025-10-14 16:00:00,2025-10-14 18:19:34.729274,HR,Device Enrollment,Low,R. Costa,2.33,24,True
TKT-10267,2025-07-30 14:00:00,2025-08-01 04:08:49.591334,HR,Access Request,Low,A. Palishchuk,38.15,24,False
TKT-10268,2026-04-12 12:00:00,2026-04-12 13:00:28.653893,Finance,Password Reset,Low,R. Costa,1.01,24,True
TKT-10269,2025-08-07 11:00:00,2025-08-07 11:56:20.401815,Sales,SSO Login Failure,Low,J. Nguyen,0.94,24,True
TKT-10270,2026-06-26 12:00:00,2026-06-26 13:23:23.766737,Engineering,MFA Issue,Low,J. Nguyen,1.39,24,True
TKT-10271,2025-12-01 11:00:00,2025-12-01 19:01:26.263168,Legal,Permission Change,Low,T. O'Brien,8.02,24,True
TKT-10272,2025-10-09 11:00:00,2025-10-09 11:06:00.000000,Sales,Password Reset,High,R. Costa,0.1,2,True
TKT-10273,2025-12-05 15:00:00,2025-12-05 15:54:49.898136,Legal,Access Request,Medium,J. Nguyen,0.91,8,True
TKT-10274,2025-09-11 12:00:00,2025-09-11 12:09:52.268085,Marketing,Password Reset,Low,T. O'Brien,0.16,24,True
TKT-10275,2026-03-13 17:00:00,2026-03-14 05:52:26.193114,HR,Device Enrollment,Low,R. Costa,12.87,24,True
TKT-10276,2026-05-17 13:00:00,2026-05-18 08:50:47.430751,Marketing,Device Enrollment,Low,A. Palishchuk,19.85,24,True
TKT-10277,2025-10-25 09:00:00,2025-10-25 09:06:00.000000,HR,Password Reset,Low,A. Palishchuk,0.1,24,True
TKT-10278,2025-07-12 11:00:00,2025-07-12 18:59:12.493659,Operations,Access Request,Low,A. Palishchuk,7.99,24,True
TKT-10279,2025-11-07 14:00:00,2025-11-07 14:59:11.173454,Sales,Password Reset,Low,A. Palishchuk,0.99,24,True
TKT-10280,2026-03-24 09:00:00,2026-03-24 11:03:27.536540,Engineering,Password Reset,Medium,A. Palishchuk,2.06,8,True
TKT-10281,2025-11-26 16:00:00,2025-11-26 17:16:20.098956,HR,Device Enrollment,Low,R. Costa,1.27,24,True
TKT-10282,2026-03-17 14:00:00,2026-03-17 14:29:11.426130,Operations,MFA Issue,Low,R. Costa,0.49,24,True
TKT-10283,2025-11-01 13:00:00,2025-11-02 05:58:46.539360,Marketing,Access Request,Low,M. Singh,16.98,24,True
TKT-10284,2025-07-07 13:00:00,2025-07-07 20:19:59.849871,Marketing,Device Enrollment,Medium,A. Palishchuk,7.33,8,True
TKT-10285,2025-08-31 12:00:00,2025-08-31 12:55:42.279755,Sales,Password Reset,Low,A. Palishchuk,0.93,24,True
TKT-10286,2025-09-03 12:00:00,2025-09-03 13:06:30.868551,Operations,Device Enrollment,Medium,T. O'Brien,1.11,8,True
TKT-10287,2025-12-11 08:00:00,2025-12-11 08:18:10.489736,HR,Password Reset,Medium,A. Palishchuk,0.3,8,True
TKT-10288,2025-10-25 17:00:00,2025-10-25 17:06:00.000000,Sales,Password Reset,High,R. Costa,0.1,2,True
TKT-10289,2026-02-18 11:00:00,2026-02-19 07:20:09.900484,Finance,Device Enrollment,Low,T. O'Brien,20.34,24,True
TKT-10290,2025-07-17 15:00:00,2025-07-17 15:51:47.956464,Operations,MFA Issue,Medium,A. Palishchuk,0.86,8,True
TKT-10291,2026-02-27 17:00:00,2026-02-27 19:36:56.114977,Legal,MFA Issue,Medium,M. Singh,2.62,8,True
TKT-10292,2026-01-30 15:00:00,2026-01-30 15:32:20.644282,Operations,MFA Issue,High,A. Palishchuk,0.54,2,True
TKT-10293,2025-09-25 12:00:00,2025-09-25 12:53:28.695327,Finance,Password Reset,Low,A. Palishchuk,0.89,24,True
TKT-10294,2025-11-29 08:00:00,2025-11-29 09:18:26.614466,Marketing,Group Membership,Medium,T. O'Brien,1.31,8,True
TKT-10295,2026-01-27 14:00:00,2026-01-27 17:27:11.274018,Operations,Device Enrollment,Low,M. Singh,3.45,24,True
TKT-10296,2026-06-17 15:00:00,2026-06-17 15:10:01.929250,HR,MFA Issue,Low,T. O'Brien,0.17,24,True
TKT-10297,2025-11-13 15:00:00,2025-11-13 15:13:28.275847,Finance,Account Lockout,Low,A. Palishchuk,0.22,24,True
TKT-10298,2026-05-20 16:00:00,2026-05-20 16:06:00.000000,Sales,Account Lockout,Medium,J. Nguyen,0.1,8,True
TKT-10299,2025-12-11 15:00:00,2025-12-11 16:38:38.913764,HR,Password Reset,Low,A. Palishchuk,1.64,24,True
TKT-10300,2025-07-10 08:00:00,2025-07-10 10:25:13.806368,Engineering,Permission Change,Low,R. Costa,2.42,24,True
TKT-10301,2025-10-22 13:00:00,2025-10-22 14:00:51.340873,Engineering,MFA Issue,High,T. O'Brien,1.01,2,True
TKT-10302,2025-10-30 14:00:00,2025-10-30 18:05:00.794060,Operations,Permission Change,Low,M. Singh,4.08,24,True
TKT-10303,2025-11-26 15:00:00,2025-11-26 15:23:54.069515,Engineering,SSO Login Failure,Medium,J. Nguyen,0.4,8,True
TKT-10304,2025-11-27 16:00:00,2025-11-27 16:56:11.505718,Operations,Permission Change,Low,M. Singh,0.94,24,True
TKT-10305,2026-04-09 09:00:00,2026-04-09 09:55:06.573127,Operations,Password Reset,Medium,J. Nguyen,0.92,8,True
TKT-10306,2026-01-05 08:00:00,2026-01-05 14:29:35.471394,Operations,Access Request,Low,A. Palishchuk,6.49,24,True
TKT-10307,2025-10-16 16:00:00,2025-10-16 17:36:34.537495,Finance,SSO Login Failure,Low,M. Singh,1.61,24,True
TKT-10308,2025-07-03 08:00:00,2025-07-03 12:07:53.522652,Sales,MFA Issue,Low,A. Palishchuk,4.13,24,True
TKT-10309,2025-07-10 12:00:00,2025-07-10 12:24:59.654885,Finance,SSO Login Failure,Medium,J. Nguyen,0.42,8,True
TKT-10310,2025-09-24 17:00:00,2025-09-24 20:33:37.335598,Marketing,SSO Login Failure,Low,M. Singh,3.56,24,True
TKT-10311,2025-07-20 10:00:00,2025-07-20 14:31:55.791274,Sales,Device Enrollment,Low,J. Nguyen,4.53,24,True
TKT-10312,2025-11-09 11:00:00,2025-11-09 11:57:50.093079,Marketing,Device Enrollment,Low,J. Nguyen,0.96,24,True
TKT-10313,2026-06-24 12:00:00,2026-06-24 12:07:48.143003,Operations,Password Reset,Low,A. Palishchuk,0.13,24,True
TKT-10314,2025-10-27 14:00:00,2025-10-27 14:24:08.327056,Sales,Access Request,Medium,R. Costa,0.4,8,True
TKT-10315,2026-03-11 15:00:00,2026-03-11 15:14:09.056003,HR,Account Lockout,Medium,J. Nguyen,0.24,8,True
TKT-10316,2026-05-15 10:00:00,2026-05-15 10:59:55.733363,Marketing,Password Reset,Low,A. Palishchuk,1.0,24,True
TKT-10317,2026-06-21 10:00:00,2026-06-21 13:06:09.769535,Legal,Access Request,Low,A. Palishchuk,3.1,24,True
TKT-10318,2026-05-15 11:00:00,2026-05-15 11:43:38.914305,Finance,Password Reset,Medium,T. O'Brien,0.73,8,True
TKT-10319,2026-04-27 08:00:00,2026-04-27 17:14:27.296910,Engineering,Access Request,Medium,M. Singh,9.24,8,False
TKT-10320,2025-08-16 14:00:00,2025-08-16 14:09:10.596792,Operations,Account Lockout,Medium,T. O'Brien,0.15,8,True
TKT-10321,2026-03-16 08:00:00,2026-03-16 08:53:49.843190,Engineering,Account Lockout,Medium,J. Nguyen,0.9,8,True
TKT-10322,2026-03-02 10:00:00,2026-03-02 14:01:11.353960,Operations,MFA Issue,Low,R. Costa,4.02,24,True
TKT-10323,2025-08-18 12:00:00,2025-08-18 13:07:03.023198,HR,Access Request,Low,A. Palishchuk,1.12,24,True
TKT-10324,2026-04-21 09:00:00,2026-04-21 09:06:00.000000,Finance,Permission Change,Medium,A. Palishchuk,0.1,8,True
TKT-10325,2026-05-12 16:00:00,2026-05-12 22:16:30.956059,Marketing,SSO Login Failure,Medium,J. Nguyen,6.28,8,True
TKT-10326,2025-10-14 13:00:00,2025-10-14 17:36:57.550769,Sales,MFA Issue,Low,A. Palishchuk,4.62,24,True
TKT-10327,2025-12-29 17:00:00,2025-12-29 18:06:19.293122,HR,Device Enrollment,Low,A. Palishchuk,1.11,24,True
TKT-10328,2025-09-22 09:00:00,2025-09-22 12:57:10.687181,Finance,Permission Change,Low,M. Singh,3.95,24,True
TKT-10329,2025-09-08 09:00:00,2025-09-08 09:16:26.056796,Legal,SSO Login Failure,Medium,J. Nguyen,0.27,8,True
TKT-10330,2025-12-01 15:00:00,2025-12-01 20:58:07.011366,Sales,MFA Issue,Medium,A. Palishchuk,5.97,8,True
TKT-10331,2025-09-25 17:00:00,2025-09-25 17:14:23.880213,Operations,Password Reset,Low,R. Costa,0.24,24,True
TKT-10332,2025-12-08 09:00:00,2025-12-08 09:14:30.826647,Marketing,SSO Login Failure,Low,R. Costa,0.24,24,True
TKT-10333,2025-09-19 15:00:00,2025-09-19 15:23:05.713021,Finance,Password Reset,High,M. Singh,0.38,2,True
TKT-10334,2025-12-24 08:00:00,2025-12-24 09:49:47.519947,Sales,Account Lockout,Low,A. Palishchuk,1.83,24,True
TKT-10335,2025-07-02 13:00:00,2025-07-02 16:06:08.032314,Engineering,Device Enrollment,Medium,M. Singh,3.1,8,True
TKT-10336,2025-09-24 15:00:00,2025-09-24 17:51:36.355883,Engineering,Device Enrollment,Low,A. Palishchuk,2.86,24,True
TKT-10337,2026-05-15 08:00:00,2026-05-15 08:07:01.134348,Legal,Password Reset,Low,M. Singh,0.12,24,True
TKT-10338,2026-01-30 15:00:00,2026-01-30 15:06:00.000000,Marketing,Password Reset,Medium,A. Palishchuk,0.1,8,True
TKT-10339,2025-12-15 17:00:00,2025-12-15 18:36:29.585994,Marketing,SSO Login Failure,Medium,J. Nguyen,1.61,8,True
TKT-10340,2025-08-13 08:00:00,2025-08-13 10:47:26.330674,Legal,Access Request,Medium,T. O'Brien,2.79,8,True
TKT-10341,2025-12-25 10:00:00,2025-12-25 11:36:43.683287,HR,Access Request,Low,M. Singh,1.61,24,True
TKT-10342,2025-12-11 12:00:00,2025-12-11 12:22:41.156929,Marketing,Account Lockout,Medium,R. Costa,0.38,8,True
TKT-10343,2025-08-11 11:00:00,2025-08-11 18:24:51.553916,Operations,Access Request,Low,T. O'Brien,7.41,24,True
TKT-10344,2025-10-22 15:00:00,2025-10-22 15:12:13.396785,Operations,Access Request,Medium,M. Singh,0.2,8,True
TKT-10345,2025-12-23 12:00:00,2025-12-23 12:31:22.526947,Finance,Access Request,Medium,M. Singh,0.52,8,True
TKT-10346,2026-04-28 14:00:00,2026-04-29 06:09:14.878685,Operations,Group Membership,Low,M. Singh,16.15,24,True
TKT-10347,2025-12-09 11:00:00,2025-12-09 12:55:17.421285,Engineering,Group Membership,High,M. Singh,1.92,2,True
TKT-10348,2025-11-08 08:00:00,2025-11-08 08:07:03.737384,Marketing,Password Reset,Medium,M. Singh,0.12,8,True
TKT-10349,2026-01-05 16:00:00,2026-01-05 22:11:36.814980,HR,Device Enrollment,Medium,T. O'Brien,6.19,8,True
TKT-10350,2026-06-29 16:00:00,2026-06-29 19:26:07.211187,HR,MFA Issue,Low,R. Costa,3.44,24,True
TKT-10351,2026-04-03 15:00:00,2026-04-03 15:16:20.877419,Sales,Password Reset,Medium,J. Nguyen,0.27,8,True
TKT-10352,2026-06-03 17:00:00,2026-06-03 17:50:22.017527,Finance,Account Lockout,Low,T. O'Brien,0.84,24,True
TKT-10353,2025-11-16 10:00:00,2025-11-16 10:06:00.000000,Engineering,Password Reset,Medium,M. Singh,0.1,8,True
TKT-10354,2025-12-03 14:00:00,2025-12-03 16:23:53.965662,Legal,Password Reset,Medium,A. Palishchuk,2.4,8,True
TKT-10355,2026-01-07 10:00:00,2026-01-07 10:43:42.891961,Legal,SSO Login Failure,Medium,A. Palishchuk,0.73,8,True
TKT-10356,2026-05-09 12:00:00,2026-05-10 02:02:09.537797,Finance,Access Request,Medium,M. Singh,14.04,8,False
TKT-10357,2026-06-20 09:00:00,2026-06-20 09:06:00.000000,Engineering,Account Lockout,High,A. Palishchuk,0.1,2,True
TKT-10358,2025-08-15 13:00:00,2025-08-15 13:16:08.336151,Engineering,MFA Issue,Low,T. O'Brien,0.27,24,True
TKT-10359,2026-05-30 11:00:00,2026-05-30 11:06:00.000000,Marketing,Password Reset,Low,J. Nguyen,0.1,24,True
TKT-10360,2025-09-21 10:00:00,2025-09-21 19:08:45.920608,Operations,Device Enrollment,Medium,T. O'Brien,9.15,8,False
TKT-10361,2025-09-01 16:00:00,2025-09-01 16:29:45.343019,Legal,MFA Issue,Medium,J. Nguyen,0.5,8,True
TKT-10362,2025-10-28 13:00:00,2025-10-28 13:11:55.094524,Finance,Password Reset,Low,A. Palishchuk,0.2,24,True
TKT-10363,2026-05-04 16:00:00,2026-05-04 17:40:05.320673,Marketing,Device Enrollment,Low,M. Singh,1.67,24,True
TKT-10364,2026-01-12 11:00:00,2026-01-12 11:57:45.389201,Marketing,Permission Change,High,T. O'Brien,0.96,2,True
TKT-10365,2025-11-04 14:00:00,2025-11-04 16:00:54.983946,HR,Access Request,Medium,R. Costa,2.02,8,True
TKT-10366,2025-09-02 09:00:00,2025-09-02 09:13:05.060497,Operations,Account Lockout,Medium,R. Costa,0.22,8,True
TKT-10367,2026-01-17 16:00:00,2026-01-17 17:35:01.834001,Finance,Account Lockout,Medium,A. Palishchuk,1.58,8,True
TKT-10368,2026-06-08 15:00:00,2026-06-08 17:53:56.549231,Finance,MFA Issue,Low,J. Nguyen,2.9,24,True
TKT-10369,2026-05-04 13:00:00,2026-05-04 13:40:18.514553,Operations,Account Lockout,Medium,R. Costa,0.67,8,True
TKT-10370,2026-05-07 14:00:00,2026-05-07 15:00:15.982494,Engineering,Password Reset,Low,M. Singh,1.0,24,True
TKT-10371,2026-01-10 15:00:00,2026-01-10 15:31:45.547920,Legal,Account Lockout,Medium,J. Nguyen,0.53,8,True
TKT-10372,2026-01-30 16:00:00,2026-01-30 16:36:08.061683,Engineering,Password Reset,Low,A. Palishchuk,0.6,24,True
TKT-10373,2026-06-27 08:00:00,2026-06-27 15:35:56.571752,Marketing,Access Request,Low,R. Costa,7.6,24,True
TKT-10374,2026-02-22 11:00:00,2026-02-22 11:06:00.000000,Marketing,Password Reset,Medium,A. Palishchuk,0.1,8,True
TKT-10375,2025-11-13 11:00:00,2025-11-13 12:03:16.534426,Finance,Password Reset,Low,A. Palishchuk,1.05,24,True
TKT-10376,2025-10-14 13:00:00,2025-10-14 13:28:25.785309,Finance,Permission Change,Low,M. Singh,0.47,24,True
TKT-10377,2026-04-03 10:00:00,2026-04-03 10:07:13.688082,Engineering,Permission Change,Medium,A. Palishchuk,0.12,8,True
TKT-10378,2026-05-29 08:00:00,2026-05-29 20:50:08.106978,Operations,Access Request,Medium,M. Singh,12.84,8,False
TKT-10379,2026-03-25 08:00:00,2026-03-25 13:09:51.960357,Finance,Device Enrollment,High,R. Costa,5.16,2,False
TKT-10380,2026-06-08 14:00:00,2026-06-08 14:06:00.000000,HR,Password Reset,High,J. Nguyen,0.1,2,True
TKT-10381,2025-11-04 11:00:00,2025-11-04 12:03:31.260943,HR,MFA Issue,Low,T. O'Brien,1.06,24,True
TKT-10382,2026-05-28 17:00:00,2026-05-28 17:47:53.758526,Operations,MFA Issue,Medium,M. Singh,0.8,8,True
TKT-10383,2026-05-03 17:00:00,2026-05-03 17:57:33.880305,Legal,Access Request,Low,T. O'Brien,0.96,24,True
TKT-10384,2025-09-22 13:00:00,2025-09-22 13:06:00.000000,Marketing,Password Reset,High,A. Palishchuk,0.1,2,True
TKT-10385,2025-09-19 16:00:00,2025-09-19 21:11:28.165916,Operations,Access Request,Low,J. Nguyen,5.19,24,True
TKT-10386,2026-06-22 12:00:00,2026-06-22 16:05:06.859327,Finance,Device Enrollment,Low,A. Palishchuk,4.09,24,True
TKT-10387,2026-04-03 13:00:00,2026-04-03 13:31:30.537174,Finance,Device Enrollment,Low,J. Nguyen,0.53,24,True
TKT-10388,2025-10-30 09:00:00,2025-10-30 15:45:10.409243,Finance,Access Request,Low,J. Nguyen,6.75,24,True
TKT-10389,2026-06-25 17:00:00,2026-06-25 17:58:24.271866,Legal,MFA Issue,Low,R. Costa,0.97,24,True
TKT-10390,2025-12-03 12:00:00,2025-12-03 13:23:57.177026,Legal,Account Lockout,Low,A. Palishchuk,1.4,24,True
TKT-10391,2025-12-04 17:00:00,2025-12-04 17:18:44.364421,Legal,Account Lockout,Medium,M. Singh,0.31,8,True
TKT-10392,2026-05-01 08:00:00,2026-05-01 08:20:24.424854,HR,Account Lockout,Medium,R. Costa,0.34,8,True
TKT-10393,2026-05-17 11:00:00,2026-05-17 11:06:00.000000,Engineering,Password Reset,High,R. Costa,0.1,2,True
TKT-10394,2025-08-14 11:00:00,2025-08-14 12:41:21.194833,Engineering,Password Reset,Low,A. Palishchuk,1.69,24,True
TKT-10395,2026-05-02 13:00:00,2026-05-02 13:53:15.758338,Operations,SSO Login Failure,Low,T. O'Brien,0.89,24,True
TKT-10396,2025-08-06 17:00:00,2025-08-06 18:08:42.261312,Sales,MFA Issue,Low,T. O'Brien,1.15,24,True
TKT-10397,2026-04-11 11:00:00,2026-04-11 11:26:43.996620,Operations,Password Reset,High,A. Palishchuk,0.45,2,True
TKT-10398,2026-05-01 09:00:00,2026-05-01 10:11:07.118510,Engineering,Password Reset,Low,J. Nguyen,1.19,24,True
TKT-10399,2025-10-17 10:00:00,2025-10-17 10:33:56.345064,Operations,Password Reset,Medium,T. O'Brien,0.57,8,True
TKT-10400,2026-06-24 11:00:00,2026-06-24 11:13:29.401991,Engineering,MFA Issue,Medium,A. Palishchuk,0.22,8,True
TKT-10401,2026-06-19 11:00:00,2026-06-19 18:38:32.654403,Marketing,Access Request,High,R. Costa,7.64,2,False
TKT-10402,2026-03-07 10:00:00,2026-03-07 10:06:00.000000,Finance,Password Reset,Low,M. Singh,0.1,24,True
TKT-10403,2025-11-24 12:00:00,2025-11-24 12:35:52.859237,Marketing,Account Lockout,Low,A. Palishchuk,0.6,24,True
TKT-10404,2025-07-05 08:00:00,2025-07-05 08:06:00.000000,Marketing,SSO Login Failure,Low,A. Palishchuk,0.1,24,True
TKT-10405,2025-11-24 17:00:00,2025-11-25 00:46:04.575409,Legal,Group Membership,Low,J. Nguyen,7.77,24,True
TKT-10406,2026-02-13 13:00:00,2026-02-13 16:29:31.331528,Engineering,Access Request,Medium,R. Costa,3.49,8,True
TKT-10407,2026-03-06 10:00:00,2026-03-06 11:46:38.499082,Sales,Account Lockout,High,J. Nguyen,1.78,2,True
TKT-10408,2025-12-22 11:00:00,2025-12-23 23:05:32.726761,HR,Device Enrollment,Low,A. Palishchuk,36.09,24,False
TKT-10409,2026-06-02 08:00:00,2026-06-02 08:43:44.214756,Engineering,MFA Issue,Low,J. Nguyen,0.73,24,True
TKT-10410,2025-07-13 14:00:00,2025-07-13 14:45:23.436140,Engineering,Password Reset,Low,T. O'Brien,0.76,24,True
TKT-10411,2026-04-24 12:00:00,2026-04-24 12:29:24.629006,Marketing,MFA Issue,Medium,T. O'Brien,0.49,8,True
TKT-10412,2026-04-29 10:00:00,2026-04-29 15:17:20.324578,Legal,Group Membership,Medium,A. Palishchuk,5.29,8,True
TKT-10413,2025-09-05 08:00:00,2025-09-05 08:06:26.249755,Operations,MFA Issue,Medium,M. Singh,0.11,8,True
TKT-10414,2026-01-04 16:00:00,2026-01-04 17:54:06.428335,Legal,SSO Login Failure,Medium,R. Costa,1.9,8,True
TKT-10415,2026-03-17 13:00:00,2026-03-17 14:29:59.548952,Operations,MFA Issue,Medium,T. O'Brien,1.5,8,True
TKT-10416,2026-04-16 10:00:00,2026-04-16 10:37:25.743623,Legal,Access Request,Low,T. O'Brien,0.62,24,True
TKT-10417,2025-11-21 13:00:00,2025-11-21 13:20:06.564679,Legal,Password Reset,Low,A. Palishchuk,0.34,24,True
TKT-10418,2026-04-16 14:00:00,2026-04-16 15:17:20.595867,Legal,Access Request,Low,T. O'Brien,1.29,24,True
TKT-10419,2026-02-06 14:00:00,2026-02-06 21:58:45.122892,Operations,Access Request,Low,A. Palishchuk,7.98,24,True
TKT-10420,2025-08-22 10:00:00,2025-08-22 12:08:25.006109,Legal,Account Lockout,Low,T. O'Brien,2.14,24,True
TKT-10421,2025-09-12 17:00:00,2025-09-12 22:04:04.848887,Sales,Device Enrollment,Medium,A. Palishchuk,5.07,8,True
TKT-10422,2025-08-22 15:00:00,2025-08-22 15:11:30.016057,Engineering,MFA Issue,Medium,M. Singh,0.19,8,True
